,Date,Temperature
0,2013/01/01,13.0
1,2013/01/02,20.0
2,2013/01/03,15.0
3,2013/01/04,15.0
4,2013/01/05,19.0
5,2013/01/06,19.0
6,2013/01/07,20.0
7,2013/01/08,18.0
8,2013/01/09,16.0
9,2013/01/10,14.0
10,2013/01/11,16.0
11,2013/01/12,19.0
12,2013/01/13,21.0
13,2013/01/14,16.0
14,2013/01/15,19.0
15,2013/01/16,20.0
16,2013/01/17,15.0
17,2013/01/18,13.0
18,2013/01/19,18.0
19,2013/01/20,20.0
20,2013/01/21,21.0
21,2013/01/22,23.0
22,2013/01/23,18.0
23,2013/01/24,12.0
24,2013/01/25,14.0
25,2013/01/26,18.0
26,2013/01/27,14.0
27,2013/01/28,15.0
28,2013/01/29,17.0
29,2013/01/30,19.0
30,2013/01/31,21.0
31,2013/02/01,23.0
32,2013/02/02,19.0
33,2013/02/03,22.0
34,2013/02/04,25.0
35,2013/02/05,23.0
36,2013/02/06,21.0
37,2013/02/07,21.0
38,2013/02/08,14.0
39,2013/02/09,17.0
40,2013/02/10,20.0
41,2013/02/11,19.0
42,2013/02/12,22.0
43,2013/02/13,16.0
44,2013/02/14,22.0
45,2013/02/15,21.0
46,2013/02/16,16.0
47,2013/02/17,21.0
48,2013/02/18,24.0
49,2013/02/19,19.0
50,2013/02/20,14.0
51,2013/02/21,18.0
52,2013/02/22,22.0
53,2013/02/23,16.0
54,2013/02/24,19.0
55,2013/02/25,23.0
56,2013/02/26,23.0
57,2013/02/27,21.0
58,2013/02/28,21.0
59,2013/03/01,25.0
60,2013/03/02,15.0
61,2013/03/03,13.0
62,2013/03/04,17.0
63,2013/03/05,20.0
64,2013/03/06,22.0
65,2013/03/07,25.0
66,2013/03/08,24.0
67,2013/03/09,25.0
68,2013/03/10,26.0
69,2013/03/11,19.0
70,2013/03/12,25.0
71,2013/03/13,27.0
72,2013/03/14,16.0
73,2013/03/15,19.0
74,2013/03/16,23.0
75,2013/03/17,25.0
76,2013/03/18,27.0
77,2013/03/19,23.0
78,2013/03/20,27.0
79,2013/03/21,18.0
80,2013/03/22,26.0
81,2013/03/23,27.0
82,2013/03/24,25.0
83,2013/03/25,18.0
84,2013/03/26,22.0
85,2013/03/27,21.0
86,2013/03/28,19.0
87,2013/03/29,20.0
88,2013/03/30,20.0
89,2013/03/31,20.0
90,2013/04/01,20.0
91,2013/04/02,22.0
92,2013/04/03,17.0
93,2013/04/04,23.0
94,2013/04/05,24.0
95,2013/04/06,22.0
96,2013/04/07,17.0
97,2013/04/08,21.0
98,2013/04/09,22.0
99,2013/04/10,17.0
100,2013/04/11,17.0
101,2013/04/12,16.0
102,2013/04/13,18.0
103,2013/04/14,22.0
104,2013/04/15,25.0
105,2013/04/16,26.0
106,2013/04/17,25.0
107,2013/04/18,28.0
108,2013/04/19,22.0
109,2013/04/20,25.0
110,2013/04/21,17.0
111,2013/04/22,18.0
112,2013/04/23,27.0
113,2013/04/24,28.0
114,2013/04/25,23.0
115,2013/04/26,21.0
116,2013/04/27,18.0
117,2013/04/28,21.0
118,2013/04/29,27.0
119,2013/04/30,28.0
120,2013/05/01,18.0
121,2013/05/02,21.0
122,2013/05/03,23.0
123,2013/05/04,25.0
124,2013/05/05,24.0
125,2013/05/06,23.0
126,2013/05/07,25.0
127,2013/05/08,24.0
128,2013/05/09,26.0
129,2013/05/10,28.0
130,2013/05/11,24.0
131,2013/05/12,23.0
132,2013/05/13,27.0
133,2013/05/14,27.0
134,2013/05/15,29.0
135,2013/05/16,28.0
136,2013/05/17,29.0
137,2013/05/18,27.0
138,2013/05/19,30.0
139,2013/05/20,28.0
140,2013/05/21,29.0
141,2013/05/22,27.0
142,2013/05/23,27.0
143,2013/05/24,26.0
144,2013/05/25,27.0
145,2013/05/26,27.0
146,2013/05/27,30.0
147,2013/05/28,32.0
148,2013/05/29,32.0
149,2013/05/30,31.0
150,2013/05/31,30.0
151,2013/06/01,31.0
152,2013/06/02,32.0
153,2013/06/03,29.0
154,2013/06/04,28.0
155,2013/06/05,26.0
156,2013/06/06,29.0
157,2013/06/07,30.0
158,2013/06/08,32.0
159,2013/06/09,31.0
160,2013/06/10,25.0
161,2013/06/11,29.0
162,2013/06/12,26.0
163,2013/06/13,28.0
164,2013/06/14,27.0
165,2013/06/15,30.0
166,2013/06/16,28.0
167,2013/06/17,29.0
168,2013/06/18,31.0
169,2013/06/19,31.0
170,2013/06/20,29.0
171,2013/06/21,33.0
172,2013/06/22,31.0
173,2013/06/23,34.0
174,2013/06/24,32.0
175,2013/06/25,32.0
176,2013/06/26,30.0
177,2013/06/27,33.0
178,2013/06/28,33.0
179,2013/06/29,33.0
180,2013/06/30,33.0
181,2013/07/01,34.0
182,2013/07/02,34.0
183,2013/07/03,33.0
184,2013/07/04,34.0
185,2013/07/05,33.0
186,2013/07/06,33.0
187,2013/07/07,34.0
188,2013/07/08,32.0
189,2013/07/09,33.0
190,2013/07/10,32.0
191,2013/07/11,32.0
192,2013/07/12,33.0
193,2013/07/13,32.0
194,2013/07/14,31.0
195,2013/07/15,32.0
196,2013/07/16,31.0
197,2013/07/17,31.0
198,2013/07/18,27.0
199,2013/07/19,29.0
200,2013/07/20,31.0
201,2013/07/21,31.0
202,2013/07/22,32.0
203,2013/07/23,33.0
204,2013/07/24,32.0
205,2013/07/25,32.0
206,2013/07/26,32.0
207,2013/07/27,32.0
208,2013/07/28,32.0
209,2013/07/29,32.0
210,2013/07/30,32.0
211,2013/07/31,34.0
212,2013/08/01,32.0
213,2013/08/02,31.0
214,2013/08/03,33.0
215,2013/08/04,35.0
216,2013/08/05,33.0
217,2013/08/06,33.0
218,2013/08/07,33.0
219,2013/08/08,33.0
220,2013/08/09,33.0
221,2013/08/10,33.0
222,2013/08/11,33.0
223,2013/08/12,34.0
224,2013/08/13,32.0
225,2013/08/14,31.0
226,2013/08/15,30.0
227,2013/08/16,31.0
228,2013/08/17,31.0
229,2013/08/18,32.0
230,2013/08/19,33.0
231,2013/08/20,29.0
232,2013/08/21,28.0
233,2013/08/22,29.0
234,2013/08/23,30.0
235,2013/08/24,31.0
236,2013/08/25,31.0
237,2013/08/26,32.0
238,2013/08/27,31.0
239,2013/08/28,30.0
240,2013/08/29,28.0
241,2013/08/30,31.0
242,2013/08/31,30.0
243,2013/09/01,25.0
244,2013/09/02,29.0
245,2013/09/03,29.0
246,2013/09/04,29.0
247,2013/09/05,33.0
248,2013/09/06,32.0
249,2013/09/07,30.0
250,2013/09/08,35.0
251,2013/09/09,36.0
252,2013/09/10,31.0
253,2013/09/11,31.0
254,2013/09/12,29.0
255,2013/09/13,32.0
256,2013/09/14,31.0
257,2013/09/15,32.0
258,2013/09/16,30.0
259,2013/09/17,28.0
260,2013/09/18,26.0
261,2013/09/19,30.0
262,2013/09/20,27.0
263,2013/09/21,28.0
264,2013/09/22,27.0
265,2013/09/23,27.0
266,2013/09/24,30.0
267,2013/09/25,29.0
268,2013/09/26,24.0
269,2013/09/27,27.0
270,2013/09/28,27.0
271,2013/09/29,29.0
272,2013/09/30,26.0
